City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Turbiv,UA,49.3479,28.7212,41.61,91,14,12.08,few clouds
221,Mitu,CO,1.1983,-70.1733,71.8,100,100,2.01,overcast clouds
222,Shingu,JP,33.7333,135.9833,58.19,73,48,5.23,scattered clouds
223,Edd,ER,13.9297,41.6925,81.81,56,3,5.79,clear sky
224,Lagoa,PT,39.05,-27.9833,64.6,75,99,24.0,overcast clouds
225,Hasaki,JP,35.7333,140.8333,50.4,60,95,8.5,overcast clouds
226,Eureka,US,40.8021,-124.1637,63.12,68,0,5.01,clear sky
227,Monrovia,LR,6.3005,-10.7969,74.97,81,51,6.33,broken clouds
228,Hohhot,CN,40.8106,111.6522,21.47,33,45,17.45,scattered clouds
229,Quatre Cocos,MU,-20.2078,57.7625,76.08,69,1,7.25,clear sky
230,Severo-Kurilsk,RU,50.6789,156.125,36.16,98,100,14.0,light rain
231,Mpanda,TZ,-6.3655,31.0409,70.45,68,93,3.6,overcast clouds
232,Unai,BR,-16.3575,-46.9061,71.58,95,96,5.03,heavy intensity rain
233,Saint-Joseph,RE,-21.3667,55.6167,72.21,71,4,3.53,clear sky
234,Meybod,IR,32.2501,54.0166,50.68,45,5,1.07,clear sky
235,Puerto Montt,CL,-41.4698,-72.9447,59.83,72,75,5.75,broken clouds
236,Wanning,CN,18.8003,110.3967,75.54,88,76,1.7,broken clouds
237,Ocos,GT,14.5094,-92.1933,85.32,74,79,4.56,broken clouds
238,Richards Bay,ZA,-28.783,32.0377,64.98,79,100,3.47,light rain
239,Umtata,ZA,-31.5889,28.7844,53.56,93,83,2.64,broken clouds
240,Faya,SA,18.3851,42.4509,50.52,54,0,4.21,clear sky
241,Samoded,RU,63.6083,40.5111,28.27,97,100,4.0,light snow
242,Mana,GF,5.6592,-53.7767,78.28,90,36,9.69,scattered clouds
243,Lure,FR,47.75,6.5,34.97,100,90,4.61,fog
244,Zdvinsk,RU,54.7021,78.661,13.96,82,100,11.83,overcast clouds
245,Smithers,CA,54.7804,-127.1743,36.64,94,100,1.45,overcast clouds
246,Dakar,SN,14.6937,-17.4441,77.88,80,72,18.14,broken clouds
247,Loa Janan,ID,-0.583,117.095,74.35,93,100,0.47,overcast clouds
248,Naze,JP,28.3667,129.4833,69.13,75,100,14.09,overcast clouds
249,Aklavik,CA,68.2191,-135.0107,0.41,95,100,3.2,overcast clouds
250,Mount Gambier,AU,-37.8333,140.7667,58.78,54,30,7.25,scattered clouds
251,Labuhan,ID,-6.8844,112.2051,78.96,84,99,4.23,overcast clouds
252,Soyo,AO,-6.1349,12.3689,78.06,81,97,5.93,overcast clouds
253,Asau,RO,46.4333,26.4,42.96,65,35,6.06,scattered clouds
254,Saint George,US,37.1041,-113.5841,70.63,23,1,1.99,clear sky
255,Tromso,NO,69.6496,18.957,28.42,74,75,1.01,light shower snow
256,Narsaq,GL,60.9167,-46.05,34.02,100,100,1.86,moderate rain
257,Faanui,PF,-16.4833,-151.75,80.55,74,25,17.58,scattered clouds
258,Kidal,ML,18.4411,1.4078,76.78,24,3,11.83,clear sky
259,Ayan,RU,56.45,138.1667,7.92,75,96,15.5,overcast clouds
260,Maceio,BR,-9.6658,-35.7353,79.74,76,11,13.38,few clouds
261,Sande,DE,53.5049,8.0142,49.05,85,100,14.12,overcast clouds
262,Tucuman,AR,-26.8241,-65.2226,76.98,50,96,1.25,overcast clouds
263,Santa Cruz De Tenerife,ES,28.4682,-16.2546,65.71,84,0,3.44,clear sky
264,Balkhash,KZ,46.844,74.9804,20.7,80,91,14.34,overcast clouds
265,Inuvik,CA,68.3499,-133.7218,-1.19,98,100,4.25,overcast clouds
266,Half Moon Bay,US,37.4636,-122.4286,71.06,51,1,1.99,clear sky
267,Carutapera,BR,-1.195,-46.02,79.43,82,10,8.1,clear sky
268,Belogorsk,RU,50.9158,128.4611,0.01,97,100,3.2,overcast clouds
269,Rio Grande,BR,-32.035,-52.0986,66.38,74,1,9.69,light rain
270,Semey,KZ,50.4111,80.2275,13.86,68,62,18.21,broken clouds
271,Hermiston,US,45.8404,-119.2895,51.8,73,1,5.75,clear sky
272,Ahuimanu,US,21.4447,-157.8378,85.71,60,40,14.97,scattered clouds
273,Yumen,CN,40.2833,97.2,16.12,61,0,7.87,clear sky
274,Adrar,MR,20.5022,-10.0711,79.61,24,99,7.25,overcast clouds
275,Bethel,US,41.3712,-73.414,42.76,55,1,0.0,clear sky
276,Kemijarvi,FI,66.7131,27.4306,25.95,81,89,10.47,snow
277,Namwala,ZM,-15.7504,26.4384,68.92,70,99,3.22,light rain
278,Siderno,IT,38.2779,16.302,60.78,78,8,6.91,clear sky
279,Iqaluit,CA,63.7506,-68.5145,11.77,87,100,14.81,overcast clouds
280,Mitsamiouli,KM,-11.3847,43.2844,78.94,78,7,9.13,light rain
281,Bastia,FR,42.6667,9.3333,56.3,80,0,9.22,clear sky
282,Lukovetskiy,RU,64.2956,41.9211,28.38,98,100,3.29,light snow
283,Montepuez,MZ,-13.1256,38.9997,69.49,89,4,6.24,clear sky
284,Chara,RU,56.9064,118.2631,0.0,98,100,0.43,overcast clouds
285,Port Augusta,AU,-32.5,137.7667,62.71,56,0,13.58,clear sky
286,Norman Wells,CA,65.282,-126.8329,-4.07,100,93,2.55,overcast clouds
287,Beidao,CN,34.5686,105.8933,35.24,49,100,4.25,overcast clouds
288,Giresun,TR,40.5,38.5,20.52,89,100,2.71,overcast clouds
289,Betma,IN,22.6833,75.6167,67.23,48,44,6.51,scattered clouds
290,Teya,RU,60.3778,92.6267,-1.77,93,100,3.02,overcast clouds
291,Davila,PH,18.4726,120.5763,78.82,75,16,9.89,few clouds
292,Payo,ID,-3.7508,103.6372,71.98,95,91,1.07,overcast clouds
293,Pangnirtung,CA,66.1451,-65.7125,4.93,84,81,3.67,broken clouds
294,Liverpool,GB,53.4106,-2.9779,49.95,80,20,8.01,few clouds
295,Gat,IL,31.61,34.7642,60.4,74,90,0.85,overcast clouds
296,Warrington,GB,53.3925,-2.5802,49.26,84,95,1.01,overcast clouds
297,Beloha,MG,-25.1667,45.05,71.96,84,82,6.73,broken clouds
298,Nueva Italia,PY,-25.6167,-57.5,78.03,54,9,6.08,clear sky
299,Kumbo,CM,6.2,10.6667,60.31,79,12,3.6,few clouds
300,San Jose De Guanipa,VE,8.8872,-64.1651,81.91,61,98,10.13,overcast clouds
301,Gamba,GA,-2.65,10.0,74.93,92,100,5.06,overcast clouds
302,Ambon,ID,-3.6954,128.1814,78.94,89,20,5.75,few clouds
303,Viedma,AR,-40.8135,-62.9967,77.32,24,7,5.84,clear sky
304,Bengkulu,ID,-3.8004,102.2655,75.43,87,100,3.58,overcast clouds
305,Decin,CZ,50.7822,14.2148,48.76,94,23,3.4,few clouds
306,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.65,59,5,9.84,clear sky
307,Chimbote,PE,-9.0853,-78.5783,65.7,83,72,10.58,broken clouds
308,Odweyne,SO,9.4092,45.064,66.78,40,29,2.28,scattered clouds
309,Kumylzhenskaya,RU,49.8809,42.5898,40.98,74,100,21.0,overcast clouds
310,Sinnamary,GF,5.3833,-52.95,79.16,84,42,9.44,scattered clouds
311,Rawson,AR,-43.3002,-65.1023,74.08,35,57,30.89,broken clouds
312,Katherine,AU,-14.4667,132.2667,88.12,62,68,6.91,broken clouds
313,Umm Lajj,SA,25.0213,37.2685,73.9,51,11,8.79,few clouds
314,Seoul,KR,37.5683,126.9778,49.44,93,75,2.3,fog
315,Bapatla,IN,15.9,80.4667,76.96,91,75,5.44,broken clouds
316,Souillac,MU,-20.5167,57.5167,76.35,73,0,7.74,clear sky
317,Shache,CN,38.4167,77.2406,28.56,44,0,2.46,clear sky
318,Atambua,ID,-9.1061,124.8925,79.72,77,58,0.43,broken clouds
319,Puerto Escondido,MX,15.85,-97.0667,83.23,69,20,4.61,few clouds
320,Mastung,PK,29.7994,66.845,41.59,33,0,1.16,clear sky
321,Batagay,RU,67.6333,134.6333,-18.13,100,98,1.66,overcast clouds
322,Torbay,CA,47.6666,-52.7314,39.27,88,11,1.01,few clouds
323,Lata,PT,40.1629,-8.3327,58.82,81,77,4.27,broken clouds
324,Ramos Arizpe,MX,25.55,-100.9667,77.29,44,1,9.22,clear sky
325,Buraydah,SA,26.326,43.975,60.44,37,7,6.13,clear sky
326,Le Port,RE,-20.9373,55.2919,73.62,81,16,4.38,light rain
327,Sisimiut,GL,66.9395,-53.6735,32.27,97,100,34.45,snow
328,Nagar Karnul,IN,16.4821,78.3247,70.92,96,88,7.49,overcast clouds
329,Shirpur,IN,21.35,74.8833,76.21,51,66,5.01,broken clouds
330,Raga,SS,8.4596,25.678,77.63,24,12,7.54,few clouds
331,Nishihara,JP,26.1842,127.7558,74.86,78,40,6.91,scattered clouds
332,Boyolangu,ID,-8.1181,111.8935,76.75,85,96,0.38,overcast clouds
333,Salalah,OM,17.0151,54.0924,75.29,64,0,4.61,clear sky
334,Chapais,CA,49.7834,-74.8492,29.98,95,100,12.15,light snow
335,Kedougou,SN,12.5579,-12.1743,79.9,27,1,2.13,clear sky
336,Chissamba,AO,-12.1667,17.3333,63.77,92,100,0.38,overcast clouds
337,Longyearbyen,SJ,78.2186,15.6401,8.44,72,40,9.22,scattered clouds
338,Tommot,RU,58.9564,126.2925,-20.04,100,90,0.83,overcast clouds
339,Aksha,RU,50.2814,113.2867,14.85,85,100,4.74,overcast clouds
340,Husavik,IS,66.0449,-17.3389,21.09,84,100,12.46,overcast clouds
341,Port Dover,CA,42.7834,-80.1997,42.6,75,100,15.35,overcast clouds
342,Luganville,VU,-15.5333,167.1667,82.47,70,100,3.44,light rain
343,Kimbe,PG,-5.5502,150.1429,84.74,70,48,0.78,light rain
344,Komyshuvakha,UA,47.7176,35.5288,38.34,72,98,12.06,overcast clouds
345,Korla,CN,41.7597,86.1469,26.44,58,0,3.91,clear sky
346,Dunedin,NZ,-45.8742,170.5036,61.09,61,97,4.23,light rain
